question,label
강아지가 기침을 해요,S-ANIMAL O O
강아지가 갑자기 기침 합니다.,S-ANIMAL O O O
강아지가 갑자기 기침하네,S-ANIMAL O O
"강아지 기침, 호흡곤란",S-ANIMAL O S-SYMPTOM1
강아지 기침 질문합니다,S-ANIMAL O O
강아지 기침 질문이요,S-ANIMAL O O
강아지 기침 질문,S-ANIMAL O O
강아지 기침 좀 봐주세요ㅠ,S-ANIMAL O O O
강아지 기침 좀 봐주세요,S-ANIMAL O O O
강아지 기침 문제 있나요?,S-ANIMAL O O O
강아지 기침 기운없음 식욕부진,S-ANIMAL O O O
"강아지 설사, 기침, 사료 안먹는 증상",S-ANIMAL S-SYMPTOM1 O O O O
"강아지 설사, 기침",S-ANIMAL S-SYMPTOM1 O
강아지 기침질문,S-ANIMAL O
강아지 기침증상,S-ANIMAL O
강아지 기침와 식욕없음,S-ANIMAL O S-SYMPTOM1
강아지 기침? 오줌에 덩어리,S-ANIMAL O O O
강아지 기침 침흘림,S-ANIMAL O S-SYMPTOM1
강아지 기침 창백,S-ANIMAL O S-SYMPTOM1
강아지 기침 안절부절,S-ANIMAL O S-SYMPTOM1
강아지 기침 사팔눈,S-ANIMAL O S-SYMPTOM1
강아지 기침 무기력,S-ANIMAL O S-SYMPTOM1
강아지 기침 땀흘림,S-ANIMAL O S-SYMPTOM1
강아지 기침 도와주세요ㅠ,S-ANIMAL O O
강아지 기침 늘어짐,S-ANIMAL O S-SYMPTOM1
강아지 기침,S-ANIMAL O
강아지 기침,S-ANIMAL O
"강아지 기침, 사료 잘 안먹을때",S-ANIMAL O O O O
강아지 3일째 사료안먹고 기침,S-ANIMAL O O O
갑자기 기침해요,O O
갑자기 기침하네,O O
갑자기 기침을 합니다.,O O O
갑자기 기침을 자주 해요ㅠㅠ,O O O O
갑자기 그날에 기침하고 설사를 했습니다.,O O O O O
강아지가 기침하고 호흡이 이상해요,S-ANIMAL O S-SYMPTOM1 O
고양이가 기침하고 호흡이 이상해요,S-ANIMAL O S-SYMPTOM1 O
강아지가 기침하고 호흡이 이상해,S-ANIMAL O S-SYMPTOM1 O
고양이가 기침하고 호흡이 이상해,S-ANIMAL O S-SYMPTOM1 O
기침하고 호흡이 이상해,O S-SYMPTOM1 O
기침하고 호흡이 이상해요,O S-SYMPTOM1 O
강아지가 기침하고 오한이 있어요,S-ANIMAL O S-SYMPTOM1 O
고양이가 기침하고 오한이 있어요,S-ANIMAL O S-SYMPTOM1 O
기침하고 오한이 있어요,O S-SYMPTOM1 O
강아지가 기침하고 오한이 있어,S-ANIMAL O S-SYMPTOM1 O
고양이가 기침하고 오한이 있어,S-ANIMAL O S-SYMPTOM1 O
기침하고 오한이 있어,O S-SYMPTOM1 O
강아지가 기침하고 발열이 있어요,S-ANIMAL O S-SYMPTOM1 O
고양이가 기침하고 발열이 있어요,S-ANIMAL O S-SYMPTOM1 O
기침하고 발열이 있어요,O S-SYMPTOM1 O
강아지가 기침하고 발열이 있어,S-ANIMAL O S-SYMPTOM1 O
고양이가 기침하고 발열이 있어,S-ANIMAL O S-SYMPTOM1 O
기침하고 발열이 있어,O S-SYMPTOM1 O
강아지가 설사하고 기침해요,S-ANIMAL S-SYMPTOM1 O
고양이가 설사하고 기침해요,S-ANIMAL S-SYMPTOM1 O
설사하고 기침해요,S-SYMPTOM1 O
강아지가 설사하고 기침해,S-ANIMAL S-SYMPTOM1 O
고양이가 설사하고 기침해,S-ANIMAL S-SYMPTOM1 O
설사하고 기침해,S-SYMPTOM1 O
강아지가 재채기하고 기침해요,S-ANIMAL S-SYMPTOM1 O
고양이가 재채기하고 기침해요,S-ANIMAL S-SYMPTOM1 O
재채기하고 기침해요,S-SYMPTOM1 O
강아지가 재채기하고 기침해,S-ANIMAL S-SYMPTOM1 O
고양이가 재채기하고 기침해,S-ANIMAL S-SYMPTOM1 O
재채기하고 기침해,S-SYMPTOM1 O
강아지가 기침하고 예민해요,S-ANIMAL O S-SYMPTOM1
고양이가 기침하고 예민해요,S-ANIMAL O S-SYMPTOM1
기침하고 예민해요,S-SYMPTOM1 O
강아지가 기침하고 예민해,S-ANIMAL O S-SYMPTOM1
고양이가 기침하고 예민해,S-ANIMAL O S-SYMPTOM1
기침하고 예민해,S-SYMPTOM1 O
강아지가 뒷다리를 절고 기침해요,S-ANIMAL S-SYMPTOM1 O O
고양이가 뒷다리를 절고 기침해요,S-ANIMAL S-SYMPTOM1 O O
뒷다리를 절고 기침해요,S-SYMPTOM1 O O
강아지가 뒷다리를 절고 기침해,S-ANIMAL S-SYMPTOM1 O O
고양이가 뒷다리를 절고 기침해,S-ANIMAL S-SYMPTOM1 O O
뒷다리를 절고 기해,S-SYMPTOM1 O O
강아지가 기침하고 잇몸이 창백해요,S-ANIMAL O S-AREA S-SYMPTOM1
고양이가 기침하고 잇몸이 창백해요,S-ANIMAL O S-AREA S-SYMPTOM1
기침하고 잇몸이 창백해요,O S-AREA S-SYMPTOM1
강아지가 기침하고 잇몸이 창백해,S-ANIMAL O S-AREA S-SYMPTOM1
고양이가 기침하고 잇몸이 창백해,S-ANIMAL O S-AREA S-SYMPTOM1
기침하고 잇몸이 창백해,O S-AREA S-SYMPTOM1
강아지가 기침하고 뒷다리가 뻣뻣해요,S-ANIMAL O S-AREA S-SYMPTOM1
고양이가 기침하고 뒷다리가 뻣뻣해요,S-ANIMAL O S-AREA S-SYMPTOM1
기침하고 뒷다리가 뻣뻣해요,O S-AREA S-SYMPTOM1
강아지가 기침하고 뒷다리가 뻣뻣해,S-ANIMAL S-SYMPTOM1 O O
고양이가 기침하고 뒷다리가 뻣뻣해,S-ANIMAL O S-AREA S-SYMPTOM1
기침하고 뒷다리가 뻣뻣해,O S-AREA S-SYMPTOM1
고양이가 콧물을 흘리고 기침해요,S-ANIMAL S-SYMPTOM1 O O
강아지가 콧물을 흘리고 기침해요,S-ANIMAL S-SYMPTOM1 O O
콧물을 흘리고 기침해요,S-SYMPTOM1 O O
고양이가 콧물을 흘리고 기침해,S-ANIMAL S-SYMPTOM1 O O
강아지가 콧물을 흘리고 기침해,S-ANIMAL S-SYMPTOM1 O O
콧물을 흘리고 기침해,S-SYMPTOM1 O O
강아지가 오한이 있고 기침해,S-ANIMAL S-SYMPTOM1 O O
고양이가 오한이 있고 기침해,S-ANIMAL S-SYMPTOM1 O O
오한이 있고 기침해,S-SYMPTOM1 O O
강아지가 오한이 있고 기침해,S-ANIMAL S-SYMPTOM1 O O
고양이가 오한이 있고 기침해,S-ANIMAL S-SYMPTOM1 O O
오한이 있고 기침해,S-SYMPTOM1 O O
강아지가 기침하는데 왜이럴까,S-ANIMAL O O
고양이가 기침하는데 왜이럴까,S-ANIMAL O O
야 강아지가 기침해,O S-ANIMAL O
야 고양이가 기침해,O S-ANIMAL O
야 기침하는데?,O O
야 기침하잖아,O O
기침 관련 질병알려줘,O O O
기침에 대해서 알려줘,O O O
기침하는건 왜이러는거지,O O
기침 증상 알려줘,O O O
기침하는데 왜이러는지 알려주세요,O O O
고양이 기침 관련 질병 알려줘,S-ANIMAL O O O O
강아지 기침 관련 질병 알려줘,S-ANIMAL O O O O
기침 관련된 질병 어떤게 있는지 알려줘,O O O O O O
기침 관련 질병 부탁하겠습니다,O O O O
기침 관련 질병,O O O
강아지가 기침했는데 어디 아픈건가?,S-ANIMAL O O O
고양이가 기침했는데 어디 아픈건가?,S-ANIMAL O O O
강아지가 기침했는데 무슨 문제인지 알려줘,S-ANIMAL O O O O
고양이가 기침했는데 무슨 문제인지 알려줘,S-ANIMAL O O O O
강아지 기침관련 질병 궁금해,S-ANIMAL O O O
고양이 기침관련 질병 궁금해,S-ANIMAL O O O
강아지가 갑자기 기침했는데 왜이럴까,S-ANIMAL O O O
고양이가 갑자기 기침했는데 왜이럴까,S-ANIMAL O O O
야 기침 왜이래,O O O
고양이 기침과 관련된 질병 알려주세요,S-ANIMAL O O O O
강아지 기침과 관련된 질병 알려주세요,S-ANIMAL O O O O
강아지 기침관련 질병 좀 알려주세요,S-ANIMAL O O O O
고양이 기침관련 질병 좀 알려주세요,S-ANIMAL O O O O
고양이 기침 관련 질병 알려주겠니?,S-ANIMAL O O O O
강아지 기침 관련 질병 알려주겠니?,S-ANIMAL O O O O
기침 관련 질병 알려주겠니?,O O O O
고양이 기침 관련 질병 알려줘,S-ANIMAL O O O O
강아지 기침 관련 질병 알려줘,S-ANIMAL O O O O
기침 관련 질병 알려줘,O O O O
강아지 기침이 너무 심해요,S-ANIMAL O O O
고양이 기침이 너무 심해요,S-ANIMAL O O O
기침이 너무 심해요,O O O
강아지가 가래 뱉으면서 기침해요,S-ANIMAL O O O
고양이가 가래 뱉으면서 기침해요,S-ANIMAL O O O
가래 뱉으면서 기침해요,O O O
새끼 강아지가 기침을 심하게해요,O S-ANIMAL S-SYMPTOM1 O
새끼 고양이가 기침을 심하게해요,O S-ANIMAL S-SYMPTOM1 O
새끼 강아지가 기침을 심하게해,O S-ANIMAL S-SYMPTOM1 O
새끼 고양이가 기침을 심하게해,O S-ANIMAL S-SYMPTOM1 O
기침을 심하게해요,S-SYMPTOM1 O
강아지가 기침을 많이 해요,S-ANIMAL O O O
고양이가 기침을 많이 해요,S-ANIMAL O O O
기침을 많이 해요,O O O
강아지 기침 증상 도와주세요,S-ANIMAL O O O
고양이 기침 증상 도와주세요,S-ANIMAL O O O
강아지 기침 증상 도와줘,S-ANIMAL O O O
고양이 기침 증상 도와줘,S-ANIMAL O O O
강아지 기침 증상 왜이래,S-ANIMAL O O O
고양이 기침 증상 왜이래,S-ANIMAL O O O
기침 증상 도와주세요,O O O
강아지 기침 현상 가쁜호흡,S-ANIMAL O O S-SYMPTOM1
강아지 기침 현상 개구호흡,S-ANIMAL O O S-SYMPTOM1
고양이 기침 현상 가쁜호흡,S-ANIMAL O O S-SYMPTOM1
고양이 기침 현상 개구호흡,S-ANIMAL O O S-SYMPTOM1
고양이 기침 현상 재채기,S-ANIMAL O O S-SYMPTOM1
강아지 기침 현상 재채기,S-ANIMAL O O S-SYMPTOM1
기침 현상 개구호흡,O O S-SYMPTOM1
강아지 콧물 기침,S-ANIMAL S-SYMPTOM1 O
고양이 콧물 기침,S-ANIMAL S-SYMPTOM1 O
콧물 기침,S-SYMPTOM1 O
강아지 잔기침,S-ANIMAL O
고양이 잔기침,S-ANIMAL O
잔기침,O
고양이 기침 기관지염,S-ANIMAL O S-SYMPTOM1
강아지 기침 기관지염,S-ANIMAL O S-SYMPTOM1
기침 기관지염,O S-SYMPTOM1
고양이가 물을 마시고 기침해요,S-ANIMAL O O O
강아지가 물을 마시고 기침해요,S-ANIMAL O O O
물을 마시고 기침해요,O O O
고양이 기침 저체온,S-ANIMAL O S-SYMPTOM1
강아지 기침 저체온,S-ANIMAL O S-SYMPTOM1
기침 저체온,O S-SYMPTOM1
고양이 기침 저체온 증상,S-ANIMAL O S-SYMPTOM1 O
강아지 기침 저체온 증상,S-ANIMAL O S-SYMPTOM1 O
기침 저체온 증상,O S-SYMPTOM1 O
고양이 기침 저체온 질문,S-ANIMAL O S-SYMPTOM1 O
강아지 기침 저체온 질문,S-ANIMAL O S-SYMPTOM1 O
기침 저체온 질문,O S-SYMPTOM1 O
강아지 기침 고열,S-ANIMAL O S-SYMPTOM1
고양이 기침 고열,S-ANIMAL O S-SYMPTOM1
기침 고열,O S-SYMPTOM1
강아지 기침 고열 증상,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 고열 증상,S-ANIMAL O S-SYMPTOM1 O
기침 고열 증상,O S-SYMPTOM1 O
강아지 기침 고열ㅠㅠ,S-ANIMAL O S-SYMPTOM1
고양이 기침 고열ㅠㅜ,S-ANIMAL O S-SYMPTOM1
기침 고열ㅠ,O S-SYMPTOM1
강아지 기침 경련,S-ANIMAL O S-SYMPTOM1
고양이 기침 경련,S-ANIMAL O S-SYMPTOM1
기침 경련,O S-SYMPTOM1
강아지 기침 경련 증상,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 경련 증상,S-ANIMAL O S-SYMPTOM1 O
기침 경련 증상,O S-SYMPTOM1 O
강아지 기침 경련 질문이요,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 경련 질문이요,S-ANIMAL O S-SYMPTOM1 O
기침 경련 질문이요,O S-SYMPTOM1 O
강아지 기침 다리 절뚝거림,S-ANIMAL O O S-SYMPTOM1
고양이 기침 다리 절뚝거림,S-ANIMAL O O S-SYMPTOM1
기침 다리 절뚝거림,O O S-SYMPTOM1
강아지 기침 다리 절뚝거림 증상,S-ANIMAL O O S-SYMPTOM1 O
고양이 기침 다리 절뚝거림 증상,S-ANIMAL O O S-SYMPTOM1 O
기침 다리 절뚝거림 증상,O O S-SYMPTOM1 O
강아지 기침 적색뇨,S-ANIMAL O S-SYMPTOM1
고양이 기침 적색뇨,S-ANIMAL O S-SYMPTOM1
기침 적색뇨,O S-SYMPTOM1
강아지 기침 적색뇨 증상,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 적색뇨 증상,S-ANIMAL O S-SYMPTOM1 O
기침 적색뇨 증상,O S-SYMPTOM1 O
강아지 기침 적색뇨 질문합니다,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 적색뇨 질문합니다,S-ANIMAL O S-SYMPTOM1 O
기침 적색뇨 질문합니다,O S-SYMPTOM1 O
강아지 기침 갈색뇨,S-ANIMAL O S-SYMPTOM1
고양이 기침 갈색뇨,S-ANIMAL O S-SYMPTOM1
기침 갈색뇨,O S-SYMPTOM1
강아지 기침 갈색뇨 증상,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 갈색뇨 증상,S-ANIMAL O S-SYMPTOM1 O
기침 갈색뇨 증상,O S-SYMPTOM1 O
강아지 기침 갈색뇨 궁금해요,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 갈색뇨 궁금해요,S-ANIMAL O S-SYMPTOM1 O
기침 갈색뇨 궁금해요,O S-SYMPTOM1 O
강아지 기침 갈색뇨 궁금해,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 갈색뇨 궁금해,S-ANIMAL O S-SYMPTOM1 O
기침 갈색뇨 궁금해,O S-SYMPTOM1 O
고양이 기침 혈변,S-ANIMAL O S-SYMPTOM1
강아지 기침 혈변,S-ANIMAL O S-SYMPTOM1
기침 혈변,O S-SYMPTOM1
고양이 기침 혈변 왜이럴까,S-ANIMAL O S-SYMPTOM1 O
강아지 기침 혈변 왜이럴까,S-ANIMAL O S-SYMPTOM1 O
기침 혈변 왜이럴까,O S-SYMPTOM1 O
고양이 기침 혈변 증상,S-ANIMAL O S-SYMPTOM1 O
강아지 기침 혈변 증상,S-ANIMAL O S-SYMPTOM1 O
기침 혈변 증상,O S-SYMPTOM1 O
강아지 기침 눈떨림,S-ANIMAL O S-SYMPTOM1
고양이 기침 눈떨림,S-ANIMAL O S-SYMPTOM1
기침 눈떨림,O S-SYMPTOM1
강아지 기침 눈떨림 증상,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 눈떨림 증상,S-ANIMAL O S-SYMPTOM1 O
기침 눈떨림 증상,O S-SYMPTOM1 O
강아지 눈떨림 기침 증상,S-ANIMAL S-SYMPTOM1 O O
고양이 눈떨림 기침 증상,S-ANIMAL S-SYMPTOM1 O O
눈떨림 기침 증상,S-SYMPTOM1 O O
강아지 기침 호흡장애,S-ANIMAL O S-SYMPTOM1
고양이 기침 호흡장애,S-ANIMAL O S-SYMPTOM1
기침 호흡장애,O S-SYMPTOM1
강아지 기침 호흡장애 증상,S-ANIMAL O S-SYMPTOM1 O
고양이 기침 호흡장애 증상,S-ANIMAL O S-SYMPTOM1 O
기침 호흡장애 증상,O S-SYMPTOM1 O
강아지 기침 호흡장애 무슨 질병인지 알려줘,S-ANIMAL O S-SYMPTOM1 O O O
고양이 기침 호흡장애 무슨 질병인지 알려줘,S-ANIMAL O S-SYMPTOM1 O O O
기침 호흡장애 무슨 질병인지 알려줘,O S-SYMPTOM1 O O O
강아지 기침 호흡장애 질병 알려줘,S-ANIMAL O S-SYMPTOM1 O O
고양이 기침 호흡장애 질병 알려줘,S-ANIMAL O S-SYMPTOM1 O O
기침 호흡장애 증상 질병 알려줘,O S-SYMPTOM1 O O O
강아지 기침 호흡장애 질병 알려줘요,S-ANIMAL O S-SYMPTOM1 O O
고양이 기침 호흡장애 질병 알려줘요,S-ANIMAL O S-SYMPTOM1 O O
기침 호흡장애 증상 질병 알려줘요,O S-SYMPTOM1 O O O
강아지 기침 저체온,S-ANIMAL O S-SYMPTOM1
강아지 기침 거친피모,S-ANIMAL O S-SYMPTOM1
강아지 기침 곤두선털,S-ANIMAL O S-SYMPTOM1
강아지 기침 과각화증,S-ANIMAL O S-SYMPTOM1
강아지 기침 난산,S-ANIMAL O S-SYMPTOM1
강아지 기침 무기력,S-ANIMAL O S-SYMPTOM1
강아지 기침 침울,S-ANIMAL O S-SYMPTOM1
강아지 기침 졸림,S-ANIMAL O S-SYMPTOM1
강아지 기침 생기없음,S-ANIMAL O S-SYMPTOM1
강아지 기침 발육정지,S-ANIMAL O S-SYMPTOM1
강아지 기침 변비,S-ANIMAL O S-SYMPTOM1
강아지 기침 배변안됨,S-ANIMAL O S-SYMPTOM1
강아지 기침 비만,S-ANIMAL O S-SYMPTOM1
강아지 기침 체중과다,S-ANIMAL O S-SYMPTOM1
강아지 기침 과제충,S-ANIMAL O S-SYMPTOM1
강아지 기침 서맥,S-ANIMAL O S-SYMPTOM1
강아지 기침 식욕부진,S-ANIMAL O S-SYMPTOM1
강아지 기침 식욕감소,S-ANIMAL O S-SYMPTOM1
강아지 기침 식욕절폐,S-ANIMAL O S-SYMPTOM1
강아지 기침 저체온,S-ANIMAL O S-SYMPTOM1
강아지 기침 낮은체온,S-ANIMAL O S-SYMPTOM1
강아지 기침 탈모,S-ANIMAL O S-SYMPTOM1
강아지 기침 무로,S-ANIMAL O S-SYMPTOM1
강아지 기침 좌각차단,S-ANIMAL O S-SYMPTOM1
강아지 기침 우각차단,S-ANIMAL O S-SYMPTOM1
강아지 기침 양각차단,S-ANIMAL O S-SYMPTOM1
강아지 기침 홍반,S-ANIMAL O S-SYMPTOM1
강아지 기침 발적,S-ANIMAL O S-SYMPTOM1
강아지 기침 다뇨증,S-ANIMAL O S-SYMPTOM1
강아지 기침 다식증,S-ANIMAL O S-SYMPTOM1
강아지 기침 과도한식욕,S-ANIMAL O S-SYMPTOM1
강아지 기침 다음,S-ANIMAL O S-SYMPTOM1
강아지 기침 빠른호흡,S-ANIMAL O S-SYMPTOM1
강아지 기침 과호흡,S-ANIMAL O S-SYMPTOM1
강아지 기침 떨림,S-ANIMAL O S-SYMPTOM1
강아지 기침 오한,S-ANIMAL O S-SYMPTOM1
강아지 기침 발열,S-ANIMAL O S-SYMPTOM1
강아지 기침 고열,S-ANIMAL O S-SYMPTOM1
강아지 기침 발작,S-ANIMAL O S-SYMPTOM1
강아지 기침 실신,S-ANIMAL O S-SYMPTOM1
강아지 기침 경련,S-ANIMAL O S-SYMPTOM1
강아지 기침 간질발작,S-ANIMAL O S-SYMPTOM1
강아지 기침 부정맥,S-ANIMAL O S-SYMPTOM1
강아지 기침 흉강소리,S-ANIMAL O S-SYMPTOM1
강아지 기침 비정상적행동,S-ANIMAL O S-SYMPTOM1
강아지 기침 설사,S-ANIMAL O S-SYMPTOM1
강아지 기침 수척,S-ANIMAL O S-SYMPTOM1
강아지 기침 건강상태불량,S-ANIMAL O S-SYMPTOM1
강아지 기침 심장잡음,S-ANIMAL O S-SYMPTOM1
강아지 기침 운동실조,S-ANIMAL O S-SYMPTOM1
강아지 기침 협조불능,S-ANIMAL O S-SYMPTOM1
강아지 기침 절뚝거림,S-ANIMAL O S-SYMPTOM1
강아지 기 넘어짐,S-ANIMAL O S-SYMPTOM1
강아지 기침 재채기,S-ANIMAL O S-SYMPTOM1
강아지 기침 전신허약,S-ANIMAL O S-SYMPTOM1
